0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251
0,866,1012,975,924,880,838,797,760,714,677,644,608,583,568,528,505,476,448,415,383,379,364,343,330,307,288,275,255,259,247,262,268,256,264,258,253,254,262,248,256,238,250,243,226,245,238,234,220,246,252,240,238,252,220,220,223,243,225,218,221,232,237,247,241,239,246,244,240,248,263,257,267,279,261,245,240,238,237,246,255,243,238,228,229,236,225,233,233,247,237,228,224,254,253,279,258,255,267,255,259,250,232,264,262,280,276,260,268,259,245,244,259,267,264,269,268,268,266,262,255,254,235,227,235,249,235,223,228,226,240,229,238,262,252,245,252,258,267,276,283,279,267,269,268,261,257,263,263,261,268,265,257,259,236,226,223,232,225,237,233,234,240,246,237,253,263,247,237,234,255,259,264,263,286,276,275,295,304,294,307,313,305,299,298,293,283,296,294,286,283,300,310,297,284,278,272,272,301,305,306,273,270,268,280,287,281,280,275,289,292,280,267,258,271,256,233,211,192,186,188,208,230,227,248,248,249,250,259,239,231,228,223,226,211,210,218,226,228,224,228,245,242,237,244,258,276,272,264,255,258,245
0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,871,1031,969,874,796,723,656,591,527,440,372,304,248,187,140,85,33,8,6,4,9,7,11,7,11,7,3,10,9,48,85,96,93,80,83,62,59,53,61,67,54,50,38,33,28,17,17,6,6,3,12,7,13,18,13,16,7,15,30,45,53,47,27,13,12,9,10,11,16,22,32,25,8,10,11,7,10,8,11,9,12,12,10,14,27,35,58,81,93,62,40,37,43,53,38,37,41,39,39,34,27,49,58,52,56,37,39,21,21,16,9,6,25,46,63,41,51,72,41,19,12,13,13,13,23,33,31,32,21,11,13,13,6,1,6,7,15,12,10,12,11,41,26,23,39,67,89,86,80,66,42,24,21,22,8,27,26,17,8,12,25,43,57,40,39,34,27,20,10,14,16,16,14,7,15,6,8,8,26,46,66,72,74,67,63,47,26,27,11,9,6,7,17,17,16,11,16,15,32,28,16,8,9,10,24,51,59,67,50,63,47,44,48,73,74,62,32,13,14,10,22,37,38,48,36,33,18,19,25,36,43,51,36,23,23,32,25,23,34,39,56,73,83,78,43,43,37,40,39,35,18
0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,209,186,98,23,4,1,3,1,1,0,1,0,3,0,0,2,5,0,5,4,4,2,3,3,3,2,1,5,2,2,6,1,1,2,2,1,3,1,1,2,2,4,1,1,4,1,5,9,4,2,2,4,3,0,1,0,3,2,1,2,2,3,2,2,2,1,3,1,6,2,2,1,6,1,2,1,3,1,4,2,4,0,3,2,4,1,4,2,3,2,3,0,1,4,5,3,1,8,9,3,2,1,3,4,6,3,3,4,2,3,1,1,4,0,1,5,1,2,2,2,3,1,4,4,4,4,4,2,2,3,3,2,2,1,2,7,0,1,1,2,5,1,0,2,1,0,1,3,1,0,1,5,1,2,2,1,3,1,1,5,2,1,3,1,1,4,3,2,3,1,2,3,4,1,0,4,1,1,0,0,1,2,2,4,1,2,8,2,2,2,5,7,0,1,3,3,2,3,1,0,4,5,2,3,3,2,2,2,3,2,2,2,2,4,0,5,4,0,1,3,6,0,1,1,2,4,2,2,0,2,0,5,3,0,1,4,3,3,3,0,2,1,1,3,1,3,3,3,1,1,3
0,158,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,1,2,1,1,4,1,1,0,1,0,2,0,1,1,1,1,0,1,1,1,1,2,3,3,3,2,1,2,1,0,0,3,2,0,2,2,4,1,1,0,0,0,3,0,0,3,2,2,1,3,1,0,2,2,2,3,1,1,0,0,1,2,2,0,2,2,2,0,2,0,0,3,0,3,5,1,3,1,2,1,2,1,0,0,0,1,3,1,1,3,2,0,3,0,0,0,1,3,1,1,3,1,2,0,1,4,1,0,0,4,0,3,2,1,3,0,6,1,1,2,0,3,0,0,0,2,1,0,0,1,1,3,2,2,0,2,0,2,0,2,0,4,2,0,0,1,3,2,0,2,5,1,1,0,1,1,4,0,1,2,0,1,3,2,2,2,3,2,1,3,1,0,2,2,1,4,0,2,0,1,2,1,1,0,2,2,1,1,1,0,2,2,0,0,1,3,2,3,0,1,1,0,2,2,2,1,1,2,0,1,1,2,3,1,3,1,1,2,2,1,0,2,0,1,1,0,1,0,4,2,2,1,1,5
0,746,1031,1011,981,924,889,853,817,791,748,714,681,645,615,600,560,530,479,473,456,420,415,404,373,374,362,334,319,308,293,296,296,312,317,320,328,321,330,314,296,287,289,296,313,326,308,296,306,316,331,328,327,330,329,313,322,315,296,294,287,268,249,235,256,272,282,281,253,242,212,240,269,289,306,309,313,319,329,339,340,343,337,317,314,306,317,320,319,309,292,296,279,287,286,290,300,307,290,298,299,293,305,301,306,319,314,296,276,288,294,280,291,283,299,294,293,262,261,251,236,262,253,260,266,298,308,282,262,278,299,294,290,291,277,290,291,293,284,259,246,236,241,234,244,244,244,249,270,294,288,296,300,284,280,272,253,245,271,270,264,236,231,216,240,277,296,307,303,300,290,279,267,265,251,260,284,277,281,277,277,262,253,281,275,289,300,285,293,290,291,297,296,280,273,278,296,301,327,331,321,322,315,342,345,324,306,328,333,318,324,318,294,298,311,326,318,308,302,302,284,293,306,306,322,302,298,317,313,303,303,295,309,316,310,321,302,279,274,270,263,282,292,301,273,274,291,307,313,310,298,310
0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,634,768,786,776,756,746,745,744,731,732,733,725,717,704,710,699,700,698,689,677,674,686,687,680,672,669,679,670,661,677,675,671,671,660,667,663,663,663,680,670,666,665,653,669,666,674,680,670,680,685,669,667,674,658,669,665,668,670,671,679,671,675,669,682,682,679,665,671,673,682,666,677,671,667,679,673,665,661,669,671,668,656,650,655,659,644,644,655,655,651,649,643,659,657,677,662,666,659,657,656,658,667,646,663,658,655,677,672,663,673,663,659,658,659,649,660,651,666,665,668,679,678,668,677,677,682,680,673,679,686,680,675,668,666,662,655,657,665,669,669,667,659,663,662,659,653,652,656,667,667,671,668,674,668,678,672,674,670,684,670,664,684,676,681,669,666,670,662,677,663,665,673,659,662,673,680,683,653,664,662,669,669,678,683,675,669,679,672,668,669,677,666,675,673,672,689,682,684,687,667,669,666,661,665,663,675,669,667,662,674,673,666,668,672,672,679,667,674,663,673,662,655,650,654,655,669,671,674,682,666,681,671,661,667,658,667,673,669,670,674,672,658,669,668,665,667,665,671,661,669,683
